order_date,city,product_category,customer_segment,sales,units_sold,discount_pct
2024-01-08,Mumbai,Electronics,Retail,1850.50,12,5.0
2024-01-15,Delhi,Apparel,Online,920.00,18,10.0
2024-01-22,Bangalore,Groceries,Retail,540.75,42,0.0
2024-01-29,Chennai,Electronics,Wholesale,3200.00,8,15.0
2024-02-05,Mumbai,Home,Online,1420.30,9,5.0
2024-02-12,Pune,Apparel,Retail,680.40,14,7.5
2024-02-18,Delhi,Electronics,Online,2400.00,6,10.0
2024-02-25,Bangalore,Home,Retail,1100.00,7,0.0
2024-03-04,Chennai,Groceries,Wholesale,820.50,55,5.0
2024-03-11,Mumbai,Apparel,Online,1560.80,22,12.5
2024-03-19,Pune,Electronics,Retail,2780.00,11,8.0
2024-03-27,Delhi,Home,Online,1340.20,8,5.0
2024-04-03,Bangalore,Apparel,Online,990.00,19,10.0
2024-04-10,Chennai,Electronics,Retail,2150.75,9,5.0
2024-04-17,Mumbai,Groceries,Wholesale,710.40,48,2.5
2024-04-24,Pune,Home,Retail,1290.50,7,7.5
2024-05-01,Delhi,Apparel,Online,1180.00,21,15.0
2024-05-09,Bangalore,Electronics,Retail,3380.60,12,10.0
2024-05-16,Chennai,Home,Online,1620.30,8,5.0
2024-05-24,Mumbai,Groceries,Retail,580.90,38,0.0
2024-06-02,Pune,Apparel,Online,1040.00,17,12.5
2024-06-10,Delhi,Electronics,Wholesale,4120.00,14,20.0
2024-06-17,Bangalore,Home,Retail,1480.25,9,5.0
2024-06-25,Chennai,Groceries,Online,690.80,46,2.5
2024-07-03,Mumbai,Apparel,Retail,1320.40,23,7.5
2024-07-11,Pune,Electronics,Online,2980.50,10,12.5
2024-07-19,Delhi,Home,Online,1750.00,10,5.0
2024-07-27,Bangalore,Groceries,Retail,610.30,41,0.0
2024-08-04,Chennai,Apparel,Online,1100.60,19,10.0
2024-08-12,Mumbai,Electronics,Retail,2640.00,9,8.0
2024-08-20,Pune,Home,Online,1390.75,8,5.0
2024-08-28,Delhi,Groceries,Wholesale,940.00,62,2.5
2024-09-05,Bangalore,Apparel,Online,1280.00,24,15.0
2024-09-13,Chennai,Electronics,Retail,3050.50,11,10.0
2024-09-21,Mumbai,Home,Online,1550.20,9,5.0
2024-09-29,Pune,Groceries,Retail,520.80,35,0.0
2024-10-07,Delhi,Apparel,Online,1410.00,26,12.5
2024-10-15,Bangalore,Electronics,Wholesale,3720.00,13,18.0
2024-10-23,Chennai,Home,Retail,1680.40,10,5.0
2024-10-31,Mumbai,Groceries,Online,750.60,49,2.5
2024-11-08,Pune,Apparel,Retail,1190.50,21,7.5
2024-11-15,Delhi,Electronics,Online,2890.00,10,10.0
2024-11-22,Bangalore,Home,Online,1420.30,8,5.0
2024-11-29,Chennai,Groceries,Wholesale,880.00,58,2.5
2024-12-06,Mumbai,Apparel,Online,1640.80,28,15.0
2024-12-13,Pune,Electronics,Retail,3210.00,12,10.0
2024-12-20,Delhi,Home,Online,1820.50,11,5.0
2024-12-27,Bangalore,Groceries,Retail,640.20,43,0.0
